_id,Date,Consumption,Wind,Solar,Wind+Solar
666b079b0d1be4cb9ba07101,2006-01-01,1069.1840000000002,,,
666b079b0d1be4cb9ba07102,2006-01-02,1380.5210000000002,,,
666b079b0d1be4cb9ba07103,2006-01-03,1442.5330000000001,,,
666b079b0d1be4cb9ba07104,2006-01-04,1457.2169999999999,,,
666b079b0d1be4cb9ba07105,2006-01-05,1477.131,,,
666b079b0d1be4cb9ba07106,2006-01-06,1403.4270000000001,,,
666b079b0d1be4cb9ba07107,2006-01-07,1300.2870000000003,,,
666b079b0d1be4cb9ba07108,2006-01-08,1207.9849999999997,,,
666b079b0d1be4cb9ba07109,2006-01-09,1529.3229999999996,,,
666b079b0d1be4cb9ba0710a,2006-01-10,1576.911,,,
666b079b0d1be4cb9ba0710b,2006-01-11,1577.1759999999997,,,
666b079b0d1be4cb9ba0710c,2006-01-12,1553.28,,,
666b079b0d1be4cb9ba0710d,2006-01-13,1545.0019999999997,,,
666b079b0d1be4cb9ba0710e,2006-01-14,1359.945,,,
666b079b0d1be4cb9ba0710f,2006-01-15,1265.475,,,
666b079b0d1be4cb9ba07110,2006-01-16,1563.738,,,
666b079b0d1be4cb9ba07111,2006-01-17,1598.3029999999999,,,
666b079b0d1be4cb9ba07112,2006-01-18,1572.9840000000004,,,
666b079b0d1be4cb9ba07113,2006-01-19,1558.29,,,
666b079b0d1be4cb9ba07114,2006-01-20,1540.6039999999998,,,
666b079b0d1be4cb9ba07115,2006-01-21,1348.188,,,
666b079b0d1be4cb9ba07116,2006-01-22,1248.111,,,
666b079b0d1be4cb9ba07117,2006-01-23,1569.691,,,
666b079b0d1be4cb9ba07118,2006-01-24,1603.2520000000006,,,
666b079b0d1be4cb9ba07119,2006-01-25,1613.3119999999997,,,
666b079b0d1be4cb9ba0711a,2006-01-26,1601.6729999999995,,,
666b079b0d1be4cb9ba0711b,2006-01-27,1586.0649999999998,,,
666b079b0d1be4cb9ba0711c,2006-01-28,1373.0300000000002,,,
666b079b0d1be4cb9ba0711d,2006-01-29,1252.2149999999997,,,
666b079b0d1be4cb9ba0711e,2006-01-30,1554.7219999999998,,,
666b079b0d1be4cb9ba0711f,2006-01-31,1575.1290000000004,,,
666b079b0d1be4cb9ba07120,2006-02-01,1582.1340000000002,,,
666b079b0d1be4cb9ba07121,2006-02-02,1595.7169999999996,,,
666b079b0d1be4cb9ba07122,2006-02-03,1577.786,,,
666b079b0d1be4cb9ba07123,2006-02-04,1366.3220000000001,,,
666b079b0d1be4cb9ba07124,2006-02-05,1258.013,,,
666b079b0d1be4cb9ba07125,2006-02-06,1557.5250000000003,,,
666b079b0d1be4cb9ba07126,2006-02-07,1606.6669999999997,,,
666b079b0d1be4cb9ba07127,2006-02-08,1590.8960000000002,,,
666b079b0d1be4cb9ba07128,2006-02-09,1599.129,,,
666b079b0d1be4cb9ba07129,2006-02-10,1554.631,,,
666b079b0d1be4cb9ba0712a,2006-02-11,1346.1040000000003,,,
666b079b0d1be4cb9ba0712b,2006-02-12,1232.568,,,
666b079b0d1be4cb9ba0712c,2006-02-13,1521.4560000000001,,,
666b079b0d1be4cb9ba0712d,2006-02-14,1551.3730000000003,,,
666b079b0d1be4cb9ba0712e,2006-02-15,1562.656,,,
666b079b0d1be4cb9ba0712f,2006-02-16,1523.7190000000005,,,
666b079b0d1be4cb9ba07130,2006-02-17,1495.913,,,
666b079b0d1be4cb9ba07131,2006-02-18,1297.3850000000002,,,
666b079b0d1be4cb9ba07132,2006-02-19,1173.0500000000004,,,
666b079b0d1be4cb9ba07133,2006-02-20,1501.2459999999999,,,
666b079b0d1be4cb9ba07134,2006-02-21,1544.112,,,
666b079b0d1be4cb9ba07135,2006-02-22,1543.1070000000002,,,
